,participant_id,bigram,iki_ms_mean,iki_ms_std,keystroke_count,coeff_var
2952,6308, a,92.75,53.720023353409935,12,0.5791916264518592
2960,6308, i,128.375,50.90309420850563,8,0.396518747485925
2969,6308, t,118.73684210526316,101.3995628443695,19,0.8539856799836083
2981,6308,BKSPBKSP,139.0,31.54679064500856,16,0.22695532838135654
3043,6308,an,89.66666666666667,17.177504669382767,6,0.19157068404516095
3044,6308,ar,86.0,18.293896978682994,7,0.2127197323102674
3056,6308,d ,109.66666666666667,142.55788298091412,9,1.2999199056010404
3064,6308,e ,73.88888888888889,20.20742114375423,18,0.2734838951786287
3093,6308,he,100.5,19.01127485016645,8,0.1891669139320045
3094,6308,hi,58.714285714285715,29.71932191753532,7,0.506168499812037
3101,6308,in,146.5,18.307557637944683,10,0.12496626374023674
3104,6308,is,98.21428571428571,36.045224950861964,14,0.3670059267724127
3125,6308,n ,76.0,37.48599738569057,6,0.49323680770645484
3131,6308,nd,78.66666666666667,30.670289641062514,6,0.3898765632338455
3133,6308,ng,64.14285714285714,31.903127179157906,7,0.4973761475592547
3150,6308,ou,129.11111111111111,43.073902900841375,9,0.3336188692836251
3162,6308,re,112.33333333333333,173.80808381660503,9,1.5472529716611725
3170,6308,s ,91.75,69.45719999812077,20,0.7570267029767932
3180,6308,st,66.5,17.78482499211055,6,0.2674409773249707
3182,6308,t ,89.55555555555556,55.455187113360076,9,0.6192266551119612
3188,6308,th,133.1818181818182,21.273543107898984,11,0.15973308818217666
3199,6308,ur,134.83333333333334,53.1353617345988,6,0.3940817928400405
3215,6950, SHIFT,171.4,122.57895414792867,10,0.7151630930450914
3216,6950, a,159.125,93.99458571033304,8,0.5906965323508754
3218,6950, c,200.77777777777777,80.11675507934932,9,0.39903198434651016
3221,6950, h,191.66666666666666,47.75378772855869,12,0.24915019684465406
3222,6950, i,259.7,274.5671543033183,10,1.0572474174174753
3227,6950, o,153.66666666666666,19.50042734574468,6,0.12690082871417363
3231,6950, t,160.11764705882354,133.3125473994014,17,0.8325912218184511
3233,6950, w,135.14285714285714,45.663364496528914,7,0.3378895892977827
3249,6950,BKSPBKSP,144.89655172413794,36.6823671416295,29,0.25316245766474427
3254,6950,BKSPe,138.5,129.63140051700435,6,0.9359667907364935
3295,6950,SHIFTI,92.14285714285714,37.94042949778231,7,0.41175659920073826
3300,6950,SHIFTT,187.83333333333334,121.67237429534556,6,0.6477677424774386
3318,6950,an,175.0,139.61784576888033,8,0.797816261536459
3321,6950,at,174.16666666666666,19.569534145366536,6,0.11236096160019064
3335,6950,co,99.55555555555556,29.35605180840533,9,0.2948710561112142
3336,6950,d ,91.28571428571429,26.335744313981873,7,0.28849798153031786
3345,6950,e ,109.6086956521739,24.559277325825335,23,0.22406322034668097
3356,6950,er,116.28571428571429,56.402465329434804,7,0.4850334856339602
3357,6950,es,176.22222222222223,135.6141380699094,9,0.7695632046842272
3367,6950,g ,103.42857142857143,20.181320925195017,7,0.19512326861376397
3371,6950,ha,82.58333333333333,28.3723884127231,12,0.3435607073185441
3372,6950,he,130.44444444444446,99.06703678710582,9,0.7594576925757686
3373,6950,hi,109.16666666666667,14.811031924436147,6,0.1356735748803311
3383,6950,in,95.4375,12.883937027684253,16,0.1349986852933517
3385,6950,is,119.88888888888889,28.77257567738959,9,0.23999368034894006
3403,6950,me,145.5,50.662609486681596,6,0.34819662877444396
3408,6950,n ,217.63636363636363,44.245390103993266,11,0.20329962036087132
3416,6950,ng,103.16666666666667,21.44217028816502,6,0.20784009972373202
3421,6950,nt,118.16666666666667,39.54448971306453,6,0.33465012451112436
3424,6950,o ,208.14285714285714,100.67179110261982,7,0.4836668069446388
3433,6950,on,94.54545454545455,24.200676173874303,11,0.2559686903005936
3436,6950,or,168.77777777777777,102.54240315325384,9,0.607558675694065
3438,6950,ou,101.55555555555556,15.629388272666906,9,0.1538998845229783
3450,6950,r ,101.25,25.566440056113738,8,0.2525080499369258
3454,6950,re,126.875,39.171554912789894,8,0.30874131950967404
3464,6950,s ,115.05,50.02049579922214,20,0.4347718018185323
3478,6950,t ,131.11111111111111,31.170677103828062,9,0.23774245248682419
3483,6950,th,84.9,31.014154474655243,10,0.36530217284635147
3484,6950,ti,94.83333333333333,33.34316521667772,6,0.35159752425319213
3486,6950,to,92.4,32.99225498338798,10,0.35705903661675303
3497,6950,ve,141.0,60.296489671179586,7,0.42763467851900416
3508,6950,y ,169.83333333333334,30.928411964836904,6,0.18211037467028598
3516,7119, SHIFT,374.15384615384613,179.94945871635093,13,0.480950444759984
3517,7119, a,252.0,139.75216158137474,10,0.5545720697673601
3525,7119, i,571.7272727272727,250.3134398745265,11,0.43781965950386253
3528,7119, m,590.875,216.56238790968033,8,0.36651133980906336
3534,7119, s,530.2857142857143,261.5120865821911,7,0.49315318051598533
3535,7119, t,440.61538461538464,229.4912992038182,13,0.520842683248889
3538,7119, w,582.2222222222222,225.87318221613748,9,0.38795012212695373
3553,7119,BKSPBKSP,231.70833333333334,224.92365451930314,24,0.9707188830180319
3587,7119,SHIFTI,225.33333333333334,92.52603237287691,6,0.4106184868618798
3595,7119,SHIFTT,218.5,55.38862699146821,6,0.2534948603728522
3613,7119,an,387.6666666666667,299.61183220961084,9,0.7728594124065628
3616,7119,ar,259.6666666666667,78.7591264552877,9,0.30330857428223756
3630,7119,d ,352.0,345.4295876151897,11,0.9813340557249707
3635,7119,e ,321.75,244.11762132930562,24,0.7587183258098077
3640,7119,ee,221.33333333333334,117.0771825193392,6,0.5289631740331591
3645,7119,en,384.0,173.98850536745238,7,0.4530950660610739
3647,7119,er,201.875,88.61382913679847,8,0.4389539523804259
3648,7119,es,219.57142857142858,90.39885165726598,7,0.4117058956414195
3649,7119,et,200.14285714285714,60.77397626020689,7,0.30365298631081244
3664,7119,he,176.88888888888889,76.57095474859324,9,0.4328760004631527
3678,7119,in,310.5,166.8071831895628,12,0.537221201898753
3680,7119,is,138.66666666666666,24.000000000000004,9,0.17307692307692313
3700,7119,me,198.85714285714286,59.1394639008183,7,0.2973967293862989
